dim_0,dim_1,worker_id,item,path
0.19853342,-0.21585251,80900,CFD-BF-005-022-F,resources/CFD-BF-005-022-F.JPEG
0.57476604,0.053710323,80900,CFD-BF-050-004-HO,resources/CFD-BF-050-004-HO.JPEG
-0.6739571,-0.1343745,80900,CFD-BF-050-012-A,resources/CFD-BF-050-012-A.JPEG
-0.001039392,-0.19044976,80900,CFD-BF-050-036-F,resources/CFD-BF-050-036-F.JPEG
0.6781241,-0.1081926,80900,CFD-BM-002-002-F,resources/CFD-BM-002-002-F.JPEG
0.71921587,0.32162255,80900,CFD-BM-002-007-HO,resources/CFD-BM-002-007-HO.JPEG
0.3359946,-0.2944139,80900,CFD-BM-002-016-A,resources/CFD-BM-002-016-A.JPEG
0.19529839,0.4316156,80900,CFD-BM-009-003-HO,resources/CFD-BM-009-003-HO.JPEG
-0.20675114,-0.46364975,80900,CFD-BM-009-008-A,resources/CFD-BM-009-008-A.JPEG
0.16891849,-0.26073682,80900,CFD-BM-009-009-F,resources/CFD-BM-009-009-F.JPEG
0.078039095,0.46433794,80900,CFD-BM-038-007-HO,resources/CFD-BM-038-007-HO.JPEG
0.48927996,-0.5759265,80900,CFD-BM-038-017-F,resources/CFD-BM-038-017-F.JPEG
-0.51017225,-0.6104638,80900,CFD-BM-038-038-A,resources/CFD-BM-038-038-A.JPEG
0.5812053,0.40326166,80900,CFD-WF-001-009-HO,resources/CFD-WF-001-009-HO.JPEG
-0.35067567,-0.25710192,80900,CFD-WF-001-016-A,resources/CFD-WF-001-016-A.JPEG
-0.038847327,-0.12534358,80900,CFD-WF-001-027-F,resources/CFD-WF-001-027-F.JPEG
-0.48180273,-0.28970647,80900,CFD-WF-020-012-A,resources/CFD-WF-020-012-A.JPEG
0.19005428,0.029736774,80900,CFD-WF-020-023-HO,resources/CFD-WF-020-023-HO.JPEG
-0.27340317,0.13521469,80900,CFD-WF-020-027-F,resources/CFD-WF-020-027-F.JPEG
-0.61354434,-0.20122965,80900,CFD-WF-026-008-A,resources/CFD-WF-026-008-A.JPEG
0.14831804,0.5646047,80900,CFD-WF-026-017-HO,resources/CFD-WF-026-017-HO.JPEG
0.006684682,0.13859083,80900,CFD-WF-026-024-F,resources/CFD-WF-026-024-F.JPEG
0.17570728,0.45406076,80900,CFD-WM-023-004-HO,resources/CFD-WM-023-004-HO.JPEG
-0.41096646,-0.026815305,80900,CFD-WM-023-012-A,resources/CFD-WM-023-012-A.JPEG
0.07343186,-0.5474705,80900,CFD-WM-023-015-F,resources/CFD-WM-023-015-F.JPEG
0.11679315,0.4458085,80900,CFD-WM-033-007-HO,resources/CFD-WM-033-007-HO.JPEG
-0.19243304,-0.3053901,80900,CFD-WM-033-014-A,resources/CFD-WM-033-014-A.JPEG
-0.16362971,0.28673044,80900,CFD-WM-033-053-F,resources/CFD-WM-033-053-F.JPEG
-0.06967844,0.16443615,80900,CFD-WM-038-005-HO,resources/CFD-WM-038-005-HO.JPEG
-0.37996417,-0.11731099,80900,CFD-WM-038-011-A,resources/CFD-WM-038-011-A.JPEG
-0.332011,0.1499475,80900,CFD-WM-038-018-F,resources/CFD-WM-038-018-F.JPEG
-1.3289773,1.3847992,81492,CFD-BF-002-004-HO,resources/CFD-BF-002-004-HO.JPEG
0.59494597,-1.3059429,81492,CFD-BF-002-018-A,resources/CFD-BF-002-018-A.JPEG
-0.40833047,-0.27692217,81492,CFD-BF-002-022-F,resources/CFD-BF-002-022-F.JPEG
-0.784571,0.65547276,81492,CFD-BF-005-005-HO,resources/CFD-BF-005-005-HO.JPEG
0.112512335,-1.1009392,81492,CFD-BF-005-020-A,resources/CFD-BF-005-020-A.JPEG
0.041442562,-0.54875445,81492,CFD-BF-005-022-F,resources/CFD-BF-005-022-F.JPEG
-0.8732732,0.83533376,81492,CFD-BF-050-004-HO,resources/CFD-BF-050-004-HO.JPEG
0.41301897,-0.90336716,81492,CFD-BF-050-012-A,resources/CFD-BF-050-012-A.JPEG
-0.44346333,-0.6989532,81492,CFD-BF-050-036-F,resources/CFD-BF-050-036-F.JPEG
-0.036384724,0.3149968,81492,CFD-BM-002-002-F,resources/CFD-BM-002-002-F.JPEG
-1.0636061,1.041775,81492,CFD-BM-002-007-HO,resources/CFD-BM-002-007-HO.JPEG
1.1986746,-0.76271933,81492,CFD-BM-002-016-A,resources/CFD-BM-002-016-A.JPEG
-0.8654729,0.59265846,81492,CFD-BM-009-003-HO,resources/CFD-BM-009-003-HO.JPEG
1.1702744,-0.89775467,81492,CFD-BM-009-008-A,resources/CFD-BM-009-008-A.JPEG
-0.1235852,0.2762665,81492,CFD-BM-009-009-F,resources/CFD-BM-009-009-F.JPEG
